id	name	prereq	subseq	type	alias	description
518	Double Flyaway Catch	Double Flyaway, Flyaway Catch		Bar/Flip	Swing Double Gainer Catch, Bar Double Gainer Catch	Double Flyaway to bar catch. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
519	Dive Palm Flip	Palm Flip	Trapdoor Palm Flip	Wall/Flip		A dive set into a Palm Flip.
520	Devil Drop Side Full	Devil Drop Side		Wall/Flip/Twist		A full twisting Devil Drop Side.
521	Back Flip Wall Dive Roll	Back Flip		Wall/Flip/Roll	Back Flip Wall Suicide	Back Flip into Wall Dive Roll.
522	Corner Worm Punch Wall Flip	Punch Wall Flip		Wall/Flip		A worm off a ledge towards a perpendicular wall into a Punch Wall Flip. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
523	Flyaway Arabian Half	Flyaway Arabian	Flyaway Arabian Unwind Half	Bar/Flip/Twist		A half twisting Flyaway into a front tuck followed by a half twist.
524	Gainer Arabian Half	Gainer Arabian		Flip/Twist		A half twisting Gainer into a front tuck followed by a half twist.
525	Gainer Arabian	Gainer	Flyaway Arabian, Gainer Arabian Half, Gainer Full	Flip/Twist		A half twisting Gainer into a front tuck.
526	Devil Drop Raiden Half	Devil Drop Raiden		Wall/Flip/Twist		A half twisting Devil Drop Raiden. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
527	Inward Webster Half	Inward Webster		Flip/Twist	Loser Half	A half twisting Inward Webster.
528	Inward Macaco	Macaco		Flip	Inward Valdez	A forward traveling Macaco. This was first landed by Alexander Zyulev in 2011.
529	Two-Step Wall Two and a Half Full	Two-Step Wall Double Full		Wall/Flip/Twist	Wall Flip 900	A two and a half twisting Wall Flip.
530	360 Dive Front Dash-Out	360 Dive Front Flip		Vault/Flip/Twist	Vortex Front Dash-Out, Pigskin Dash-Out, Psycho Crusher Dash-Out	A 360 Dive Front Flip over a vault into a Dash Vault.
531	Toe Shoot Dive Roll		Hang Toe Shoot Dive Roll, Toe Shoot Front, Toe Shoot Handstand, Toe Shoot 360 Dive Roll	Bar/Flip/Roll		A toe shoot executed into Dive Roll.
532	Swing Castaway Rodeo	Swing Castaway Back		Bar/Flip	Back Uprise Rodeo	A swing castaway set into Rodeo. This was first landed by Dimitris Dk' Kyrsanidis of team Focus in 2015. Reference Club540.com for Rodeo.
533	Front Half-In Back-Out	Front Half		Flip/Twist	Barani-In Back-Out	Front Half into a back tuck.
534	Front-In Half-Out	Double Front Flip, Front Half		Flip/Twist	Front-In Barani-Out	Front Flip into a Front Half.
535	Lazy Roll	Lazy Vault	Lazy Bomb	Vault/Roll		Lazy Vault into a roll.
536	Reverse Palm Spin Inward Frisbee	Inward Frisbee, Reverse Palm Spin	Reverse Palm Spin Inward Frisbee Vault	Flip		Reverse Palm Spin set into an Inward Frisbee.
537	Reverse Palm Spin	One-Hand Reverse, Palm Spin	Reverse Palm Spin 360, Reverse Palm Spin Inward Frisbee			Reverse Vault set into a Palm Spin.
538	Inward Webster Side	Webster Side		Flip	Loser Side	Webster Side flip traveling opposite the direction of rotation.
539	Webster Side	Side Flip	Inward Webster Side	Flip		Webster set into a side tuck.
540	Wall Flip 540 Dive Roll	Wall Arabian Dive Roll		Wall/Flip/Twist		Wall Flip set into a 540 Dive Roll. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
541	Reverse Underbar Inward Flyaway Half	Inward Flyaway Half, Reverse Underbar		Bar/Flip/Twist		A 180 Underbar into an Inward Flyaway Half.
542	Slant Kong Gainer Full	Slant Kong Gainer	Slant Kong Gainer Double Full	Vault/Flip/Twist	Slant Cat Pass Gainer Full	A full twisting Slant Kong Gainer. This was first attempted by Adry Cemel in 2014.
543	Hang Gainer Full	Hang Gainer		Wall/Flip/Twist		A full twisting Hang Gainer. This was first attempted by Laurynas Ukanis in 2014 and first landed by Nick Provost in 2016.
544	Knee Double Corkscrew	Knee Corkscrew		Wall/Flip/Twist		Double Corkscrew set off a ledge off the knee of the jump leg while using the other leg to swing into the Double Corkscrew. This was first attempted by Laurynas Ukanis in 2014. Reference Club540.com for Double Corkscrew.
545	Inward Wall Flip Cat	Running Gainer, Wall Flip		Wall/Flip		One step up a wall set into a Gainer landing Cat Hang.
546	Inward Flyaway Side	Inward Flyaway	Inward Flyaway Double Side, Inward Flyaway Side Regrab, Kip Inward Side	Bar/Flip		A backwards swing into a side tuck.
547	Inward Flyaway Side Regrab	Inward Flyaway Side		Bar/Flip		An Inward Flyaway Side to regrabbing the same bar.
548	Dive One-Hand Palm Gainer	One-Hand Palm Gainer		Wall/Flip	Dive Ginger Flip, Dive Hi-Five Gainer	A dive set into One-Hand Palm Gainer.
549	Parallel Bar Gainer Full Dismount	Parallel Bar Gainer Dismount		Parallel Bar/Flip/Twist		A full twisting Parallel Bar Gainer Dismount.
550	Giant Release Half Twist Handstand Catch	Flyaway Catch, Giant, Handstand		Bar/Flip/Twist/Handstand		A forward swing followed by a half twist flight to Handstand catch on a parallel bar.
551	Toe Shoot Side		Hang Toe Shoot Side, Toe Shoot Side Full	Bar/Flip		A toe shoot (while swinging forward from the back swing, both feet kick straight up in front of the bar, as in an Underbar, and then whip down to lift the chest up) executed into a side tuck.
552	Giant Pimp	Giant, Pimp Flip		Bar/Flip		Giant set into Pimp Flip off a high bar. This was first landed by Alexander Novikov in 2015.
553	Inward 540 Roll	Inward 360 Dive Roll		Roll/Twist		Loser set into a 360 twist to the hands and then collapsed into a roll.
554	Inward 1080 Dive Roll	Inward 720 Dive Roll		Roll/Twist		An Inward 360 Dive Roll set with two additional full twists. This was first attempted by Scott McDonald in 2015.
555	Speed Vault 540	Speed Vault 360		Vault/Twist		Speed Vault set into a 540 twist.
556	Handstand Gainer Full	Handstand Gainer		Wall/Flip/Twist/Handstand		A full twisting Handstand Gainer. This was first attempted by Alexey Kruk in 2015.
557	360 Dive Pimp	360 Dive Kong, Pimp Flip		Vault/Flip/Twist	Vortex Pimp	A 360 dive into a Pimp Flip. This was first attempted by Oliver Pitot in 2012.
558	Toe Shoot Double Front	Toe Shoot Front		Bar/Flip		A double rotating Toe Shoot Front.
559	360 Dive Down Monkey	180 Dive Down Monkey		Wall/Flip/Twist		A 360 dive set backwards into a Down Monkey. This was first attempted by Aaron Hakala in 2012.
560	360 Dive Cartwheel	360 Dive Roll, Cartwheel		Flip/Twist		A 360 dive into Cartwheel.
561	Double Dash Vault	Dash Vault		Vault		Dash Vault off a vault into a Dash Vault off a consecutive obstacle.
562	Toe Shoot Side Full	Toe Shoot Side		Bar/Flip/Twist		A full twisting Toe Shoot Side.
563	Double Flyaway Full-Down	Double Flyaway		Bar/Flip/Twist	Swing Double Gainer Full-Down, Bar Double Gainer Full-Down	Double Flyaway into a full twist after the second rotation. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
564	Kong Gainer Full-Down	Kong Gainer		Vault/Flip/Twist	Cat Pass Gainer Full-Down	Kong Gainer into a full twist after the flip.
565	Flyaway Kong	Flyaway		Bar/Flip/Vault	Lache Gainer Kong, Swing Gainer Cat Pass, Swing Gainer Kong	An under-rotated Flyaway into a Kong Vault.
566	Lazy Cat	Lazy Vault		Vault/Wall		Lazy Vault landing in Cat Hang position.
567	One-Hand Reverse Double Leg Gyro	One-Hand Reverse Double Leg		Vault/Flip/Twist		One-Hand Reverse Double Leg into a full twist after the flip.
568	Double Leg Circle Pimp Wall Flip	Double Leg Circle, Sitting Turn Pimp Wall Flip		Pommel Horse/Wall/Flip		Circle into a Wall Flip off a perpendicular wall.
569	Double Leg Circle		Double Leg Circle Castaway, Double Leg Circle Front, Double Leg Circle Pimp Wall Flip	Pommel Horse		A stationary movement where both legs swing in a circle around the body while alternating balance on both hands.
570	Straddle Sole Circle Gainer	Straddle Sole Circle	Split Sole Circle Gainer, Straddle Sole Circle Gainer Full, Straddle Sole Circle Gainer Layout, Straddle Sole Circle Stall Gainer	Bar/Flip		Straddle Sole Circle into Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
571	Double Leg Circle Castaway	Double Leg Circle, Sitting Turn Castaway Back	Double Leg Circle Castaway Full	Pommel Horse/Flip		Double Leg Circle into Castaway Back. This was first landed by Josh Yadon in 2012.
572	Kong Gainer X-Out	Kong Stall Gainer		Vault/Flip	Cat Pass Gainer X-Out	Kong Stall Gainer with both legs straddled. This was first landed by Vladimir Koldaev in 2015.
573	Sideway Gainer	Gainer	Cheat Angel Drop, Sideway Double Gainer, Sitting Sideway Gainer	Flip	Bio Gainer, Caster Gainer, Lateral Gainer, Strafe Gainer	A sideways traveling Gainer.
574	Sideway Double Gainer	Sideway Gainer		Flip	Bio Gainer, Caster Gainer, Lateral Double Gainer, Strafe Double Gainer	A double rotating Side Gainer.
575	Flyaway Arabian	Flyaway, Gainer Arabian	Flyaway Arabian Half	Bar/Flip/Twist		A half twisting Flyaway into a front tuck.
576	Wall Inward Front Full	Wall Inward Front Half	Wall Inward Rudi	Wall/Flip/Twist	Wall Loser Full	A full twisting Wall Inward Front.
577	Wall Inward Rudi	Wall Inward Front Full		Wall/Flip/Twist	Wall Loser One and a Half	A one and a half twisting Wall Inward Front.
578	Sitting Dash Gainer Full-Down	Sitting Dash Gainer		Bar/Flip/Twist		Sitting Dash Gainer into a full twist after the flip. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
579	Swipe Drop Castaway Side	Castaway Side		Wall/Flip	Your mom	Swipe (breakdancing move) dropped into a Castaway Side. This was first attempted by Masa Suzuki in 2015.
580	Parallel Bar Sideway Gainer Dismount		Parallel Bar Sideway Gainer Full-Down Dismount	Parallel Bar/Flip/Twist	Parallel Bar Bio Gainer, Parallel Bar Caster Gainer, Parallel Bar Lateral Gainer, Parallel Bar Strafe Gainer	A swing set on parallel bars from support position into a sideways traveling Gainer dismount.
581	Parallel Bar Sideway Gainer Full-Down Dismount	Parallel Bar Sideway Gainer Dismount		Parallel Bar/Flip/Twist	Parallel Bar Bio Gainer Full-Down, Parallel Bar Caster Gainer Full-Down, Parallel Bar Lateral Gainer Full-Down, Parallel Bar Strafe Gainer Full-Down	Parallel Bar Sideway Gainer into a full twist after the flip.
582	Two-Step Wall Full-Down	Two-Step Wall Flip		Wall/Flip/Twist		Two-Step Wall Flip into a full twist after the flip. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
583	Swing Castaway Pike	Swing Castaway Back		Bar/Flip	Back Uprise Pike	A piked (both legs straight during the tuck) Swing Castaway Back.
584	Front Double Full	Rudi	Randi	Flip/Twist		A double twisting Front Flip.
585	Hang Castaway Down Monkey	Down Monkey, Hang Castaway Back		Wall/Flip		Hang Castaway into Down Monkey. This was first landed by Joe Scandrett in 2015.
586	Swing Castaway Down Monkey	Down Monkey, Swing Castaway Layout		Wall/Bar/Flip	Back Uprise Down Monkey	A swing castaway set into a Down Monkey.  This was first attempted by Erik Mukhametshin in 2015.
587	Double Kong Front	Double Kong, Kong Front		Vault/Flip	Double Cat Pass Front	Double Kong into a front tuck.
588	Slant Kong Double Gainer	Slant Kong Gainer		Vault/Flip	Cheat Cat Pass Double Gainer, Cheat Kong Double Gainer, Slant Kong Double Gainer	An off-axis Kong Vault executed into Double Gainer. This was first attempted by Lewis Scandrett in 2015.
589	Wall Gainer Down Monkey	Wall Gainer	Wall Gainer Down Monkey Half-Down	Wall/Flip	Two-Hand Dragonfly	Wall Gainer set into Down Monkey.
590	Dive Palm Gainer	Palm Gainer	Kong Dive Palm Gainer	Wall/Flip		A dive into a Two-Hand Palm Gainer.
591	One-Step Castaway Back	Castaway Back		Wall/Bar/Flip		One step up a wall with both legs arched back into a Castaway Back.
592	Swing Castaway Layout	Swing Castaway Back	Swing Castaway Down Monkey	Bar/Flip	Back Uprise Layout	A laid out Swing Castaway Back.
593	Running Tunnel Flip	Tunnel Flip		Flip	Running Side Gainer	A run set into Tunnel Flip. During the set, the inside leg (leg on the side of the flip direction) swings into the flip, similar to a Grandmaster Swipe. 
594	Swing Castaway Double Full	Swing Castaway Full		Bar/Flip/Twist	Back Uprise Double Full	A double twisting Swing Castaway.
595	Parallel Bar Front Dismount			Parallel Bar/Flip		A swing set on parallel bars from support position into a Front Flip dismount.
596	Wall Arabian Unwind Half	Wall Arabian		Wall/Flip/Twist	Wall Arabian Un-Half	Wall Arabian with a half twist in one direction followed by a half twist in the opposite direction. This was first landed by Vitaliy Chzhen in 2012.
597	One-Step Raiden	Raiden	One-Step Raiden Half	Wall/Flip		One step up a wall into a Raiden.
598	One-Step Raiden Half	One-Step Raiden		Wall/Flip/Twist		A half twisting One-Step Raiden.
599	Running Gainer Cat	Running Gainer		Wall/Flip		Running Gainer landing in Cat Hang position.
600	Turn Gaet Pimp Pike	Turn Gaet Pimp		Beam/Flip		A piked Turn Gaet Pimp. This was first attempted by Nate Weston in 2015.
601	Running Gainer Catch	Running Gainer		Flip/Bar		Running Gainer to bar catch. This was first landed by Dimitris Kyrsanidis in 2015.
602	Turn Gaet Double Pimp	Turn Gaet Pimp		Beam/Flip		A double rotating Turn Gaet Pimp. This move was first attempted by Alfred Scott of Dodo Freerunning in 2015.
603	Angel Drop Double Full	Angel Drop Full		Wall/Flip/Twist		A double twisting Angel Drop.
604	180 Precision	Precision	360 Precision	Jump/Beam		A jump with a 180 spin to precision.
605	Gaet Pimp Full	Gaet Pimp	Gaet Pimp Double Full, Gaet Pimp Full-In Back-Out	Beam/Flip/Twist		A full twisting Gaet Pimp.
606	Gaet Pimp Double Full	Gaet Pimp Full		Beam/Flip/Twist		A double twisting Gaet Pimp. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
607	Palm Double Full	Palm Full		Wall/Flip/Twist		A double twisting Palm Flip.
608	Gaet Pimp Full-Down	Gaet Pimp		Beam/Flip/Twist		Gaet Pimp into a full twist after the flip. This was first attempted by Solomon Berg in 2015.
609	Wall Inward Side Full	Wall Inward Side		Wall/Flip/Twist		A full twisting Wall Inward Side.
610	Frisbee Full-Down	Frisbee		Flip/Twist		Frisbee into a full twist after the flip.
611	Gaet Pimp Layout	Gaet Pimp		Beam/Flip		A laid out Gaet Pimp. This was first landed by Shawn Bautista of Dodo Freerunning in 2015.
612	Shoulder Vault-In Back-Out	Shoulder Vault		Vault/Flip/Twist		Shoulder Vault into a back tuck. This was created by Gaëtan Bouillet of Speeders Family in 2009.
613	Split Sole Circle Gainer Full	Split Sole Circle Gainer		Bar/Flip/Twist		A full twisting Split Sole Circle Gainer.
614	Split Sole Circle Gainer	Straddle Sole Circle Gainer	Split Sole Circle Full-Up Gainer, Split Sole Circle Gainer Full	Bar/Flip		Sole Circle with one foot on the bar into a Gainer.
615	Split Sole Circle Full-Up Gainer	Split Sole Circle Gainer		Bar/Flip/Twist		Split Sole Circle into a full twist into Gainer.
616	Wall Inward Front Pike	Wall Inward Front		Wall/Flip		A piked Wall Inward Front.
617	Turn Gaet Pimp Double Full	Turn Gaet Pimp Full		Beam/Flip/Twist		A double twisting Gaet Pimp. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
618	Flyaway Full-Down	Flyaway	Flyaway Double Full-Down	Bar/Flip/Twist		Flyaway into a full twist after the flip.
619	Swing Castaway Back Regrab	Swing Castaway Back		Bar/Flip	Back Uprise Back Tuck Catch	Swing Castaway Back to catching the same bar. This was created by Jeff Bender in 1992.
620	Elbow Gaet Pimp	Gaet Pimp		Beam/Flip		Gaet Pimp set off of both elbows. This was first landed by Shawn Bautista of Dodo Freerunning of 2015.
621	Hang Castaway Wall Gainer	Wall Gainer		Wall/Flip		From Hang position, cast and then step into a Wall Gainer. This was created and first landed by Shawn Bautista of Dodo Freerunning in 2015.
622	Gargoyle Dash Bomb	Gargoyle Dash Roll		Wall/Flip		Dash Bomb set from Gargoyle position.
623	Hang Toe Shoot Dive Roll	Toe Shoot Dive Roll	Hang Toe Shoot Front	Wall/Flip/Roll		Toe Shoot Dive Roll set from Hang position.
624	Hang Toe Shoot Front	Hang Toe Shoot Dive Roll		Wall/Flip		Toe Shoot Front set from Hang position.
625	Kong Gainer Kong	Kong Gainer		Vault/Flip	Cat Pass Gainer Cat Pass	An underrotated Kong Gainer into a Kong off a consecutive and lower obstacle. This was first attempted by Gaëtan Bouillet of Speeders Family in 2012.
626	Pike Double Flyaway	Double Flyaway		Bar/Flip		A piked Double Flyaway.
627	Machine Pimp	Scoot Pimp Flip		Flip	Powerground Pimp, Spindle Pimp, Whirl Spin Pimp, Windup Pimp	Machine (Break Dance setup) into Pimp Flip.
628	Kip Inward Front	Inward Front		Bar/Flip		A bar kip into Inward Front. This was first landed by Erik Mukhametshin in 2015.
629	Wall Inward Tunnel	Wall Inward Double Tunnel		Wall/Flip		One step off a wall into a Tunnel Flip.
630	Wall Inward Double Tunnel	Wall Inward Tunnel		Wall/Flip		A double rotating Wall Inward Tunnel.
631	Hang Castaway Punch Inward Front	Punch Wall Inward Front		Wall/Flip		Hang castaway set into Punch Wall Inward Front.
632	Kip Inward Side	Inward Flyaway Side		Bar/Flip		A bar kip into Inward Side.
633	One-Hand Palm Gainer Double Full	One-Hand Palm Gainer Full		Wall/Flip/Twist	Ginger Flip Double Full, Hi-Five Gainer Double Full	A double twisting One-Hand Palm Gainer.
634	Pimp Punch Wall Layout	Punch Wall Layout		Wall/Flip		Pimp Flip into a Punch Wall Layout.
635	Pimp Wall Wrap Full	Pimp Wall Layout		Wall/Flip		Pimp Flip into a Wrap Full off a perpendicular wall.
636	Pimp Wall Layout	Pimp Flip, Wall Layout	Pimp Wall Wrap Full	Wall/Flip		Pimp Flip set into a Wall Layout off a perpendicular wall.
637	Wall Layout	Wall Flip	Pimp Wall Layout, Wall Back Handspring, Wall Layout Down Monkey, Wall Macaco, Wall Stall Pike Layout	Wall/Flip		A laid out Wall Flip.
638	Trapdoor Wall Flip	Wall Flip	Kong Trapdoor Wall Flip, Tic Tac Trapdoor Wall Flip, Trapdoor Punch Wall Layout, Trapdoor Wall Full	Wall/Flip		Wall Flip set by jumping over a gap to a wall, and then stepping off the wall into a back flip and landing in the gap below.
639	Trapdoor Wall Full	Trapdoor Wall Flip	Trapdoor Wall Double Full	Wall/Flip/Twist		A full twisting Trapdoor Wall Flip.
640	Trapdoor Wall Double Full	Trapdoor Wall Full		Wall/Flip/Twist		A double twisting Trapdoor Wall Flip.
641	Hang Castaway Arabian	Hang Castaway Back		Wall/Flip/Twist		A half twisting Hang Castaway Back into a front tuck.
642	Wall Inward Stall Side	Wall Inward Side		Wall/Flip		A stalled Wall Inward Side.
643	360 Dive Kong 360 Dive Roll	360 Dive Kong, 360 Dive Roll		Vault/Roll/Twist	360 Dive Cat Pass 360 Dive Roll, Vortex Dive Kong Vortex	A 360 Dive Kong into a 360 Dive Roll. This was first landed by Bob Reese in 2015.
644	Gargoyle Pimp Layout	Gargoyle Pimp		Wall/Flip		A laid out Gargoyle Pimp. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
645	Side Vault Pimp	Pimp Flip, Side Vault	Side Vault Pimp Layout	Vault/Flip		Side Vault into Pimp Flip.
646	Side Vault Pimp Layout	Side Vault Pimp	Side Vault Pimp Full	Vault/Flip		A laid out Side Vault Pimp.
647	Inward Flyaway Half Catch	Inward Flyaway Half		Bar/Flip/Twist	Inward Flyaway 180	Inward Flyaway Half to bar catch.
648	Wall Flash Kick	Wall Flip	Wall Flip Walkdown	Wall/Flip		Wall Flip where the non-stepping leg kicks ahead and the stepping leg lags behind.
649	Inward Frisbee	Frisbee	Devil Drop Frisbee, Palm Inward Frisbee, Reverse Palm Spin Inward Frisbee	Flip		Frisbee rotating opposite to the direction of travel.
650	Gaet Wall Full-Up	Gaet Pimp, Wall Full-Up		Beam/Wall/Flip		Gaet Pimp set into a Wall Full-Up. This was first attempted by Shawn Bautista of Dodo Freerun in 2015.
651	Two-Step Palm Flip	One-Step Palm Flip	Two-Step Palm Full-Down	Wall/Flip		Two steps up a wall into a Palm Flip.
652	Two-Step Palm Full-Down	Two-Step Palm Flip		Wall/Flip/Twist		Two-Step Palm Flip into a full twist after the flip.
653	Side Vault Pimp Full	Side Vault Pimp Layout		Vault/Flip/Twist		A full twisting Side Vault Pimp Layout. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
654	Turn Gaet Pimp Wall Flip	Turn Gaet Pimp	Turn Gaet Pimp Wall Full	Beam/Wall/Flip		Gaet set into a Wall Flip. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
655	Lache Punch Wall Inward Front	Lache, Punch Wall Inward Front	Lache Punch Wall Inward Front Half, Lache Punch Wall Inward Front Layout, Lache Punch Wall Inward Front Regrab	Bar/Wall/Flip		Lache set into Punch Wall Inward Front.
656	Butterfly Vault	Butterfly Kick	Butterfly Twist Vault	Vault	Rail Butterfly	Butterfly Kick set with one hand over a rail or vault. Reference Club540.com for Butterfly Kick.
657	Half-Up Back	Back Flip	Back Dash, Half-Up Back Full-Down, Half-Up Double Back, One-Step Half-Up Back	Flip/Twist		A 180 dive into a back tuck.
658	One-Step Half-Up Back	Half-Up Back		Wall/Flip/Twist		One step up and over a wall into a Half-Up Back.
659	Half-Up Double Back	Half-Up Back		Flip/Twist		A 180 dive into a Double Back Flip.
660	Swing Castaway Stall Back	Swing Castaway Back	Swing Castaway Back Handcuffs, Swing Castaway Stall Full-Down	Bar/Flip	Back Uprise Stall Back	A swing cast set into a stalled back tuck. This was first landed by Vlas Vladimirov in 2012.
661	Castaway Stall Back	Castaway Back		Bar/Flip	Stall Palm Drop	A stalled Castaway Back.
662	One-Hand Castaway Back	Castaway Back		Bar/Flip	One-Hand Palm Drop	Castaway Back where one hand comes off the wall after the cast.
663	360 Shoulder Vault 360	Shoulder Vault 360		Vault/Twist	360 Shoulder Vault 360	A full twist onto the vault into a Shoulder Vault 360. This was first landed by Pasha in 2015.
664	Slant Kong Gainer Full-Down	Slant Kong Gainer		Vault/Flip/Twist	Cheat Cat Pass Gainer Full-Down, Cheat Kong Gainer Full-Down, Slant Cat Pass Gainer Full-Down	Slant Kong Gainer into a full twist after the flip.
665	Double Kong Slant Gainer	Double Kong, Slant Kong Gainer		Vault/Flip	Double Cat Pass Slant Gainer, Double Kong Cheat Gainer	Kong Vault into a dive to a Slant Kong Gainer.
666	One-Step Kong Side	Kong Side		Vault/Flip	One-Step Cat Pass Side	One step into a Kong Side.
667	Punch Wall Layout	Punch Wall Flip	Dyno Palm Wall Punch Layout, Hang Castaway Wall Punch Layout, Pimp Punch Wall Layout, Slant Punch Wall Layout	Wall/Flip		A laid out Punch Wall Flip.
668	Slant Punch Wall Layout	Punch Wall Layout		Wall/Flip		Punch set on a wall while perpendicular to the ground into a back layout. This was first landed by Mike Wilson of 3Run in 2015.
669	Turn Gaet Pimp Layout	Turn Gaet Pimp		Beam/Flip		A laid out Turn Gaet Pimp.
670	One-Hand Kong One-Hand Reverse	One-Hand Double Kong		Vault	One-Hand Cat Pass One-Hand Reverse	One-Hand Kong into a dive to a One-Hand Reverse Vault.
671	Wall Roundoff			Wall/Flip		Roundoff set off the face of a wall. Reference Club540.com for Roundoff.
672	Inward Flyaway Inward Down Monkey	Inward Down Monkey, Inward Flyaway		Bar/Wall/Flip		An Inward Flyaway into an Inward Down Monkey. This was first landed by Kirya Kolesnikov of team Air Style in 2015.
673	Palm Gainer Full	Palm Gainer		Wall/Flip/Twist		A full twisting Palm Gainer.
674	Palm Inward Frisbee	Inward Frisbee	Dive Palm Inward Frisbee	Wall/Flip		An Inward Frisbee set by jumping and then pushing off a wall with one hand.
675	Gargoyle Gainer Full	Gargoyle Gainer		Wall/Flip		A full twisting Gargoyle Gainer.
676	Toe-On Inward Roll		Toe-On Inward 360 Roll	Bar/Roll/Twist		A toe-on into Inward Roll.
677	Toe-On Inward 360 Roll	Toe-On Inward Roll	Toe-On Inward 720 Roll	Bar/Roll/Twist		A toe-on set into a full twisting Inward Roll.
678	Toe-On Inward 720 Roll	Toe-On Inward 360 Roll		Bar/Roll/Twist		A toe-on into a double full twisting Inward Roll. This was first done by Bboy Mostef in 2015.
679	Pop Castaway Back	Castaway Back	Pop Castaway Full	Bar/Flip	Pop Palm Drop	Devil Drop set into Castaway Back.
680	Chest Wall Spin		Chest Wall Spin Full-Down	Wall/Spin		A jump or slide onto the face of a wall on the chest into a spin. This was first landed by Remi Girard of Massilia Parkour in 2015.
681	Chest Wall Spin Full-Down	Chest Wall Spin		Wall/Spin/Twist		Chest Wall Spin into a  into a full twist after the spin. This was first attempted by Remi Girard of Massilia Parkour in 2015.
682	Cast Stall Gainer	Cast Gainer		Bar/Flip		Cast into a stalled Gainer. This was first attempted by Julien Williams in 2015.
683	Double Webster	Webster Front		Flip		A double rotating Webster.
684	Scoot Pimp Full-Down	Scoot Pimp Flip		Flip		Scoot Pimp Flip into a full twist after the flip.
685	Pop Castaway Full	Pop Castaway Back		Bar/Flip/Twist		A full twisting Pop Castaway.
686	Side Flip One and a Half Dive Roll	Side Flip		Flip	Side 1 in 3	Side Flip one and a half degree rotation to Dive Roll.
687	Lache Two-Foot Wall Inward Side	Lache, Two-Foot Wall Inward Side		Bar/Wall/Flip		Lache set into a Two-Foot Wall Inward Side.
688	Gainer Pike	Gainer		Flip		A piked Gainer.
689	Reverse Hyper Castaway Back	Castaway Back, Reverse Hyper		Vault/Flip		Reverse Hyper into a Castaway Back. This was first attempted by Bob Reese in 2015.
690	Castaway Punch Wall Flip	Punch Wall Flip	Castaway Punch Wall Full	Bar/Flip		A castaway set into a Punch Wall Flip. This was first attempted by Bob Reese in 2015.
691	Swing Castaway Wrap Full	Swing Castaway Back	Swing Castaway Wrap Double Full	Bar/Flip/Twist		A swing castaway set into one step of the bar into Wrap Full. Reference Club540.com for Wrap Full.
692	Swing Castaway Wrap Double Full	Swing Castaway Wrap Full		Bar/Flip/Twist		A swing castaway set into one step of the bar into Wrap Double Full. Reference Club540.com for Wrap Double Full.
693	Straddle Kong Gainer	Kong Gainer		Vault/Flip	Straddle Cat Pass Gainer	A straddled Kong Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2016.
694	Reverse Hyper	Reverse Vault	Reverse Hyper Castaway Back	Vault		An over-rotated Reverse Vault landing on the jump leg.
695	Slant Kong Gainer Layout	Slant Kong Gainer		Vault/Flip	Slant Cat Pass Gainer Layout	A laid out Slant Kong Gainer.
696	Webster Front		Cheat Devil Drop, Double Webster, Inward Webster, Stomach Webster, Webster Half, Webster Precision	Flip		A flip where one leg kicks and the other leg is used to jump to set into a front tuck.
697	Toe Shoot Front Half	Toe Shoot Front	Toe Shoot Front Full	Bar/Flip/Twist		A half twisting Toe Shoot Front.
698	Kong One-Hand Kong Gainer	Double Kong Gainer		Vault/Flip	Cat Pass One-Hand Kong Gainer	Kong Vault into a dive to a One-Hand Kong Gainer.
699	Knee Inward Front	Knee Front Flip		Flip		A backwards traveling front tuck set off of both knees.
700	Backward Roll Down Monkey	Backward Roll		Wall/Flip		A backwards roll into Down Monkey.
701	Elbow Swing Castaway Back	Swing Castaway Back		Bar/Flip		Swing Castaway Back using both elbows to grip the bar.
702	Gainer Flash	Gainer		Flip		Gainer where one leg kicks ahead and the other leg lags behind.
703	One-Hand Flyaway	Flyaway	One-Hand Flyaway Full	Bar/Flip		Flyaway using one hand to grip the bar.
704	One-Hand Flyaway Full	One-Hand Flyaway	One-Hand Flyaway Double Full	Bar/Flip/Twist		A full twisting One-Hand Flyaway.
705	One-Hand Flyaway Double Full	One-Hand Flyaway Full		Bar/Flip/Twist		A double full twisting One-Hand Flyaway.
706	One-Hand Swing Castaway Back	Swing Castaway Back		Bar/Flip		Swing Castaway Back using one hand.
707	Slant Frog Gainer	Frog Gainer		Flip		Frog Gainer set from a slanted angle allowing both legs to pass over the vault on one side instead of between the arms causing body to flip off axis.
